name,strategy,planner,rep,ok,checked,fallback,pre_fb,home_fb,t,jl,cl,n,bad,bad_pairs,frac,jl_pre,jl_app,jl_home,plan_calls,plan_fail,plan_t,method
fruit_r0_p3_t0_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,2.6354448795318604,5.1391085973368185,2.4008081093047857,46,0,,1.0,2.175683247523578,0.39353032625439277,2.176364697304455,2,0,0.11639261245727539,cartesian(frac=1.00)
fruit_r0_p3_t0_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,2.643397569656372,4.960355344144173,2.466618880660687,44,0,,1.0,2.0569392613365283,0.4233306287242583,2.056754825359127,2,0,0.12843704223632812,cartesian(frac=1.00)
fruit_r0_p3_t0_f0,frontal,RRTConnect,0,True,False,False,False,False,0.46825385093688965,10.881321217968276,4.413527938115281,102,0,,,4.649038336512205,0.7916222724719328,4.649038336512206,0,0,0.0,frontal/거터법선 직선진입 22cm fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f0,frontal,RRTConnect,1,True,False,False,False,False,0.37343692779541016,8.406275720050855,2.751298047439219,102,0,,,3.3279656994407274,0.8751721605846996,3.3279656994407283,0,0,0.0,frontal/거터법선 직선진입 22cm fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f0,naive,RRTConnect,0,True,False,False,False,False,0.43994784355163574,5.172770599356037,2.514728102690932,84,32,stem_r0_p3_s1|grasped_fruit_r0_p3_t0_f0×22;rg2_leftfinger|stem_r0_p3_s1×10,,2.5863852996780174,0.0,2.586385299678019,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t0_f0,naive,RRTConnect,1,True,False,False,False,False,0.4706907272338867,4.552772598115041,2.4335198815710437,84,22,stem_r0_p3_s1|grasped_fruit_r0_p3_t0_f0×16;rg2_leftfinger|stem_r0_p3_s1×6,,2.276386299057521,0.0,2.2763862990575205,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,1.8905212879180908,6.096971156218359,2.522621869577292,50,0,,1.0,2.652724190361613,0.3957189285644104,2.6528091087279253,2,0,0.13811826705932617,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,1.8382956981658936,4.684533975734499,2.23670547793107,44,0,,1.0,1.9235428017864344,0.4183264960334205,1.9243381818812229,2,0,0.11991715431213379,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,frontal,RRTConnect,0,True,False,False,False,False,0.4198427200317383,9.650825479903038,2.946973610750192,102,0,,,3.9526519884467888,0.8727607515047299,3.9526519884467897,0,0,0.0,frontal/거터법선 직선진입 22cm fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f0,frontal,RRTConnect,1,True,False,False,False,False,0.42621803283691406,9.650824803508131,2.9469737769608493,102,0,,,3.9526519916884504,0.8727604100656157,3.9526519916884504,0,0,0.0,frontal/거터법선 직선진입 22cm fraction=1.00 (회피 없음)
